"number", "method" , Intel , Intel , Intel
,  , i3 , i7 , i7
"number", "method" , 2375M , 3630QM , 4900MQ
1, "u8_popcnt_reference", 6.26, 2.569, 2.209
2, "u8_popcnt_wegner", 4.85, 2.275, 1.832
3, "u32_popcnt_wegner", 2.359, 1.114, 0.812
4, "u8_popcnt_shift_v1", 0.246, 0.118, 0.07
5, "u32_popcnt_shift_v1", 0.102, 0.175, 0.02
6, "u8_popcnt_shift_v2", 0.24, 0.112, 0.07
7, "u32_popcnt_shift_v2", 0.088, 0.14, 0.017
8, "u32_popcnt_table_v1", 0.51, 0.152, 0.178
9, "u32_popcnt_table_v2", 0.216, 0.088, 0.07
10, "u8_asm_popcnt", 0.358, 0.159, 0.101
11, "u32_asm_popcnt", 0.093, 0.04, 0.025
12, "u32_asm_popcnt_ur2", 0.079, 0.037, 0.019
13, "u32_asm_popcnt_ur4", 0.07, 0.032, 0.018
14, "u32_sse_popcnt_v1", 0.074, 0.035, 0.029
15, "u32_sse_popcnt_v2", 0.089, 0.04, 0.03
16, "u32_avx2_popcnt_v1","N/A","N/A", 0.023
17, "u8_popcnt_intrinsics", 0.066, 0.03, 0.02
