"number", "method" , AMD , Intel , Intel , Intel , Intel , Intel , Intel , Intel , Intel , Intel
,  , Ryzen , Celeron , Core2 , i3 , i5 , i7 , i7 , i7 , i7 , Pentium-D
"number", "method" , 3600 , N3060 , Q9300 , 6100 , 7400 , 4790 , 4900MQ , 860 , 8700 , 925
1, "maxpars_c_O2", 78.19, 3.969, 5.87, 2.63, 2.752, 2.36, 2.484, 7.3, 2.228, 5.63
2, "maxpars_c_O3", 1.863, 0.701, 0.363, 0.05, 0.05, 0.06, 0.061, 0.278, 2.027, 0.606
3, "maxpars_asm", 82.27, 4.01, 4.59, 2.41, 2.586, 2.197, 2.447, 6.28, 2.018, 5.48
4, "maxpars_no_if_asm", 15.52, 2.187, 2.362, 0.49, 0.52, 0.541, 0.575, 2.656, 0.404, 2.599
5, "maxpars_sse2", 1.364, 0.214,"N/A", 0.04, 0.05, 0.04, 0.046, 0.189, 0.039,"N/A"
6, "maxpars_avx2", 0.713,"N/A","N/A", 0.024, 0.03, 0.029, 0.032,"N/A", 0.02,"N/A"
7, "maxpars_avx2_vpblendvb", 0.697,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
8, "maxpars_avx2_u2", 0.72,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
9, "maxpars_avx2_u4", 0.72,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
10, "maxpars_avx2_u4_vpblendvb", 0.709,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
11, "maxpars_avx2_u4_vpblendvb_nodep", 0.699,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
12, "maxpars_avx2_intrinsics", 0.703,"N/A","N/A", 0.02, 0.028, 0.03, 0.031,"N/A", 0.02,"N/A"
13, "maxpars_avx2_ez_ii", 0.706,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
