"number", "method" , AMD , Intel , Intel , Intel , Intel , Intel , Intel , Intel , Intel , Intel
,  , Ryzen , Celeron , Core2 , i3 , i5 , i7 , i7 , i7 , i7 , Pentium-D
"number", "method" , 3600 , N3060 , Q9300 , 6100 , 7400 , 4790 , 4900MQ , 860 , 8700 , 925
1, "maxpars_c_O2", 302.18, 16.64, 25.93, 10.57, 11.03, 9.46, 9.93, 28.02, 8.98, 23.05
2, "maxpars_c_O3", 11.73, 2.818, 2.246, 0.219, 0.24, 0.256, 0.274, 1.338, 8.4, 2.659
3, "maxpars_asm", 315.23, 16.08, 22.51, 9.55, 10.25, 8.69, 9.68, 24.19, 7.99, 21.9
4, "maxpars_no_if_asm", 60.41, 8.85, 8.96, 1.96, 2.078, 2.191, 2.322, 10.82, 1.612, 10.24
5, "maxpars_sse2", 10.66, 1.026,"N/A", 0.201, 0.219, 0.217, 0.233, 0.866, 0.178,"N/A"
6, "maxpars_avx2", 9.88,"N/A","N/A", 0.149, 0.174, 0.188, 0.199,"N/A", 0.133,"N/A"
7, "maxpars_avx2_vpblendvb", 9.95,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
8, "maxpars_avx2_u2", 9.78,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
9, "maxpars_avx2_u4", 9.75,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
10, "maxpars_avx2_u4_vpblendvb", 9.84,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
11, "maxpars_avx2_u4_vpblendvb_nodep", 9.9,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
12, "maxpars_avx2_intrinsics", 10.51,"N/A","N/A", 0.149, 0.167, 0.189, 0.197,"N/A", 0.127,"N/A"
13, "maxpars_avx2_ez_ii", 9.8,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
