"number", "method" , AMD , Intel , Intel , Intel , Intel , Intel , Intel , Intel , Intel , Intel
,  , Ryzen , Celeron , Core2 , i3 , i5 , i7 , i7 , i7 , i7 , Pentium-D
"number", "method" , 3600 , N3060 , Q9300 , 6100 , 7400 , 4790 , 4900MQ , 860 , 8700 , 925
1, "maxpars_c_O2", 604.54, 33.59, 41.71, 21.15, 22.1, 18.92, 19.82, 56.08, 17.91, 45.27
2, "maxpars_c_O3", 24.53, 5.91, 4.69, 0.451, 0.487, 0.528, 0.56, 3.163, 17.1, 6.11
3, "maxpars_asm", 631.79, 32.49, 38.3, 19.14, 20.55, 17.4, 19.38, 51.3, 16.02, 44
4, "maxpars_no_if_asm", 120.97, 18.07, 18.77, 3.919, 4.15, 4.38, 4.64, 21.76, 3.269, 20.69
5, "maxpars_sse2", 22.67, 4.055,"N/A", 0.401, 0.444, 0.439, 0.466, 2.111, 0.349,"N/A"
6, "maxpars_avx2", 21.8,"N/A","N/A", 0.307, 0.355, 0.371, 0.396,"N/A", 0.281,"N/A"
7, "maxpars_avx2_vpblendvb", 21.71,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
8, "maxpars_avx2_u2", 21.62,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
9, "maxpars_avx2_u4", 21.8,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
10, "maxpars_avx2_u4_vpblendvb", 22.04,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
11, "maxpars_avx2_u4_vpblendvb_nodep", 22.1,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
12, "maxpars_avx2_intrinsics", 22.12,"N/A","N/A", 0.299, 0.338, 0.371, 0.396,"N/A", 0.271,"N/A"
13, "maxpars_avx2_ez_ii", 21.57,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
