"number", "method" , AMD , AMD , AMD , AMD , Intel , Intel , Intel , Intel , Intel , Intel
,  , Ahtlon , X6 , Ryzen , Ryzen , Core2 , i3 , i5 , i5 , i7 , i7
"number", "method" , 200GE , 1090T , 3600 , 1700X , Q9300 , 6100 , 3570K , 7400 , 4790 , 860
1, "mp_reference", 0.359, 1.032, 0.278, 0.317, 0.427, 0.2, 0.218, 0.246, 0.185, 0.542
2, "mp_inv_jk_O2", 0.126, 0.133, 0.1, 0.115, 0.189, 0.14, 0.1, 0.16, 0.07, 0.554
3, "mp_inv_jk", 0.018, 0.062, 0.009, 0.019, 0.072, 0.007, 0.023, 0.01, 0.01, 0.067
4, "mp_inv_jk_sse", 0.099, 0.259, 0.065, 0.089, 0.378, 0.04, 0.061, 0.05, 0.05, 0.212
5, "mp_inv_jk_avx", 0.019,"N/A", 0.008, 0.017,"N/A", 0.01, 0.028, 0.01, 0.01,"N/A"
6, "mp_tile_4x4", 0.024, 0.098, 0.019, 0.023, 0.054, 0.02, 0.033, 0.025, 0.02, 0.083
7, "mp_tile_nxn_v1", 0.829, 0.405, 0.205, 0.71, 1.129, 0.198, 0.206, 0.21, 0.179, 0.569
8, "mp_tile_nxn_v2", 0.185, 0.319, 0.198, 0.222, 0.421, 0.11, 0.151, 0.123, 0.116, 0.569
9, "mp_tile_nxn_v3", 0.027, 0.102, 0.013, 0.027, 0.112, 0.01, 0.03, 0.018, 0.018, 0.164
