"number", "method" , AMD , AMD , Intel , Intel , Intel , Intel , Intel , Intel , Intel , Intel , Intel
,  , X6 , Ryzen , Celeron , Core2-Duo , Core2 , i3 , i3 , i5 , i7 , i7 , Pentium-D
"number", "method" , 1090T , 1700X , N3050 , P9500 , Q9300 , 2375M , 6100 , 7400 , 4790 , 4900MQ , 925
1, "u8_popcnt_reference", 0.618, 0.553, 1.367, 1.235, 1.608, 1.717, 0.491, 0.519, 0.484, 0.482, 1.359
2, "u8_popcnt_wegner", 0.495, 0.498, 0.882, 0.859, 1.125, 1.114, 0.527, 0.534, 0.465, 0.459, 1.067
3, "u32_popcnt_wegner", 0.281, 0.266, 0.402, 0.36, 0.473, 0.653, 0.195, 0.2, 0.171, 0.185, 0.43
4, "u8_popcnt_shift_v1", 0.034, 0.028, 0.128, 0.049, 0.061, 0.063, 0.01, 0.015, 0.01, 0.019, 0.13
5, "u32_popcnt_shift_v1", 0.022, 0.01, 0.036, 0.019, 0.025, 0.027, 0, 0, 0, 0.001, 0.059
6, "u8_popcnt_shift_v2", 0.033, 0.03, 0.137, 0.04, 0.054, 0.06, 0.011, 0.02, 0.011, 0.019, 0.135
7, "u32_popcnt_shift_v2", 0.02, 0.01, 0.032, 0.017, 0.02, 0.02, 0, 0, 0, 0.001, 0.05
8, "u32_popcnt_table_v1", 0.071, 0.039, 0.175, 0.097, 0.11, 0.103, 0.03, 0.043, 0.04, 0.04, 0.098
9, "u32_popcnt_table_v2", 0.038, 0.02, 0.086, 0.04, 0.05, 0.054, 0.02, 0.02, 0.014, 0.019, 0.077
10, "u8_asm_popcnt", 0.077, 0.029, 0.14,"N/A","N/A", 0.089, 0.023, 0.029, 0.021, 0.022,"N/A"
11, "u32_asm_popcnt", 0.018, 0.008, 0.024,"N/A","N/A", 0.025, 0, 0, 0.002, 0.003,"N/A"
12, "u32_asm_popcnt_ur2", 0.011, 0.009, 0.018,"N/A","N/A", 0.02, 0, 0, 0, 0,"N/A"
13, "u32_asm_popcnt_ur4", 0.007, 0.001, 0.018,"N/A","N/A", 0.02, 0, 0, 0, 0,"N/A"
14, "u64_asm_popcnt", 0.01, 0.002, 0.01,"N/A","N/A", 0.017, 0, 0, 0, 0,"N/A"
15, "u64_asm_popcnt_ur2", 0.006, 0, 0.01,"N/A","N/A", 0.009, 0, 0, 0, 0,"N/A"
16, "u64_asm_popcnt_ur4", 0.007, 0, 0.01,"N/A","N/A", 0.01, 0, 0, 0, 0,"N/A"
17, "u32_sse_popcnt", 0.009, 0, 0.016,"N/A","N/A", 0.02, 0, 0, 0.001, 0.007,"N/A"
18, "u32_avx2_popcnt","N/A", 0.001,"N/A","N/A","N/A","N/A", 0, 0, 0.154, 0.17,"N/A"
19, "u8_popcnt_intrinsics", 0.013, 0.003, 0.019, 0.01, 0.012, 0.015, 0, 0, 0, 0.001, 0.038
