"number", "method" , AMD , AMD , Intel , Intel , Intel , Intel , Intel , Intel , Intel , Intel , Intel
,  , X6 , Ryzen , Celeron , Core2-Duo , Core2 , i3 , i3 , i5 , i7 , i7 , Pentium-D
"number", "method" , 1090T , 1700X , N3050 , P9500 , Q9300 , 2375M , 6100 , 7400 , 4790 , 4900MQ , 925
1, "u8_popcnt_reference", 4.88, 4.42, 10.89, 9.91, 12.42, 13.72, 4.003, 4.14, 3.686, 3.851, 10.88
2, "u8_popcnt_wegner", 3.894, 4.09, 7.05, 6.91, 8.64, 8.95, 4.23, 4.31, 3.783, 3.682, 8.54
3, "u32_popcnt_wegner", 2.212, 2.124, 3.217, 2.901, 4.52, 5.22, 1.577, 1.629, 1.389, 1.49, 3.486
4, "u8_popcnt_shift_v1", 0.256, 0.215, 1.049, 0.406, 0.51, 0.49, 0.14, 0.148, 0.127, 0.14, 1.087
5, "u32_popcnt_shift_v1", 0.15, 0.085, 0.306, 0.169, 0.21, 0.191, 0.04, 0.04, 0.031, 0.04, 0.443
6, "u8_popcnt_shift_v2", 0.25, 0.227, 1.088, 0.358, 0.471, 0.489, 0.14, 0.148, 0.13, 0.141, 1.106
7, "u32_popcnt_shift_v2", 0.118, 0.068, 0.286, 0.148, 0.194, 0.16, 0.03, 0.032, 0.03, 0.033, 0.37
8, "u32_popcnt_table_v1", 0.561, 0.32, 1.384, 0.787, 0.839, 0.828, 0.25, 0.381, 0.335, 0.362, 0.814
9, "u32_popcnt_table_v2", 0.284, 0.182, 0.698, 0.336, 0.458, 0.445, 0.16, 0.157, 0.15, 0.16, 0.619
10, "u8_asm_popcnt", 0.591, 0.24, 1.144,"N/A","N/A", 0.715, 0.235, 0.23, 0.2, 0.21,"N/A"
11, "u32_asm_popcnt", 0.117, 0.054, 0.205,"N/A","N/A", 0.184, 0.05, 0.05, 0.05, 0.05,"N/A"
12, "u32_asm_popcnt_ur2", 0.082, 0.045, 0.165,"N/A","N/A", 0.151, 0.037, 0.039, 0.037, 0.039,"N/A"
13, "u32_asm_popcnt_ur4", 0.059, 0.04, 0.152,"N/A","N/A", 0.139, 0.041, 0.039, 0.03, 0.035,"N/A"
14, "u64_asm_popcnt", 0.062, 0.04, 0.122,"N/A","N/A", 0.096, 0.021, 0.028, 0.023, 0.028,"N/A"
15, "u64_asm_popcnt_ur2", 0.044, 0.023, 0.094,"N/A","N/A", 0.075, 0.021, 0.026, 0.02, 0.028,"N/A"
16, "u64_asm_popcnt_ur4", 0.038, 0.02, 0.091,"N/A","N/A", 0.074, 0.021, 0.028, 0.021, 0.028,"N/A"
17, "u32_sse_popcnt", 0.07, 0.039, 0.148,"N/A","N/A", 0.139, 0.05, 0.057, 0.05, 0.05,"N/A"
18, "u32_avx2_popcnt","N/A", 0.037,"N/A","N/A","N/A","N/A", 0.05, 0.058, 1.257, 1.344,"N/A"
19, "u8_popcnt_intrinsics", 0.074, 0.042, 0.171, 0.112, 0.159, 0.11, 0.04, 0.039, 0.037, 0.039, 0.314
