"number", "method" , AMD , AMD , Intel , Intel , Intel , Intel , Intel , Intel , Intel , Intel , Intel
,  , X6 , Ryzen , Celeron , Core2-Duo , Core2 , i3 , i3 , i5 , i7 , i7 , Pentium-D
"number", "method" , 1090T , 1700X , N3050 , P9500 , Q9300 , 2375M , 6100 , 7400 , 4790 , 4900MQ , 925
1, "u8_popcnt_reference", 0.159, 0.14, 0.355, 0.31, 0.419, 0.434, 0.12, 0.128, 0.138, 0.12, 0.341
2, "u8_popcnt_wegner", 0.127, 0.12, 0.224, 0.212, 0.298, 0.269, 0.131, 0.13, 0.112, 0.114, 0.268
3, "u32_popcnt_wegner", 0.071, 0.069, 0.104, 0.089, 0.113, 0.166, 0.04, 0.05, 0.04, 0.043, 0.105
4, "u8_popcnt_shift_v1", 0.009, 0.008, 0.033, 0.008, 0.014, 0.018, 0, 0, 0, 0, 0.031
5, "u32_popcnt_shift_v1", 0.008, 0, 0.008, 0, 0, 0.005, 0, 0, 0, 0, 0.01
6, "u8_popcnt_shift_v2", 0.009, 0.006, 0.032, 0.007, 0.01, 0.016, 0, 0, 0, 0, 0.03
7, "u32_popcnt_shift_v2", 0.002, 0, 0.006, 0, 0, 0.006, 0, 0, 0, 0, 0.01
8, "u32_popcnt_table_v1", 0.02, 0.01, 0.042, 0.02, 0.02, 0.028, 0, 0.01, 0.01, 0.01, 0.02
9, "u32_popcnt_table_v2", 0.01, 0.007, 0.021, 0.008, 0.01, 0.015, 0, 0, 0, 0, 0.015
10, "u8_asm_popcnt", 0.021, 0.006, 0.038,"N/A","N/A", 0.025, 0.001, 0, 0, 0,"N/A"
11, "u32_asm_popcnt", 0.004, 0, 0.004,"N/A","N/A", 0.005, 0, 0, 0, 0,"N/A"
12, "u32_asm_popcnt_ur2", 0.002, 0, 0,"N/A","N/A", 0.006, 0, 0, 0, 0,"N/A"
13, "u32_asm_popcnt_ur4", 0.002, 0, 0,"N/A","N/A", 0.004, 0, 0, 0, 0,"N/A"
14, "u64_asm_popcnt", 0, 0, 0,"N/A","N/A", 0.001, 0, 0, 0, 0,"N/A"
15, "u64_asm_popcnt_ur2", 0, 0, 0,"N/A","N/A", 0, 0, 0, 0, 0,"N/A"
16, "u64_asm_popcnt_ur4", 0, 0, 0,"N/A","N/A", 0, 0, 0, 0, 0,"N/A"
17, "u32_sse_popcnt", 0.001, 0, 0,"N/A","N/A", 0.007, 0, 0, 0, 0,"N/A"
18, "u32_avx2_popcnt","N/A", 0,"N/A","N/A","N/A","N/A", 0, 0, 0.039, 0.04,"N/A"
19, "u8_popcnt_intrinsics", 0, 0, 0, 0, 0, 0.002, 0, 0, 0, 0, 0.008
