"number", "method" , AMD , AMD , Intel , Intel , Intel , Intel , Intel , Intel , Intel , Intel , Intel
,  , X6 , Ryzen , Celeron , Core2-Duo , Core2 , i3 , i3 , i5 , i7 , i7 , Pentium-D
"number", "method" , 1090T , 1700X , N3050 , P9500 , Q9300 , 2375M , 6100 , 7400 , 4790 , 4900MQ , 925
1, "u8_popcnt_reference", 2.455, 2.208, 5.45, 4.93, 6.21, 6.88, 1.998, 2.067, 1.94, 1.934, 5.44
2, "u8_popcnt_wegner", 1.977, 2.045, 3.528, 3.441, 5.4, 4.5, 2.122, 2.153, 1.875, 1.868, 4.28
3, "u32_popcnt_wegner", 1.104, 1.058, 1.614, 1.452, 1.908, 2.619, 0.785, 0.81, 0.702, 0.745, 1.735
4, "u8_popcnt_shift_v1", 0.13, 0.108, 0.528, 0.203, 0.287, 0.248, 0.06, 0.07, 0.06, 0.069, 0.54
5, "u32_popcnt_shift_v1", 0.077, 0.04, 0.157, 0.08, 0.105, 0.097, 0.019, 0.019, 0.017, 0.019, 0.24
6, "u8_popcnt_shift_v2", 0.126, 0.117, 0.542, 0.179, 0.226, 0.247, 0.07, 0.07, 0.061, 0.07, 0.561
7, "u32_popcnt_shift_v2", 0.06, 0.042, 0.142, 0.073, 0.095, 0.08, 0.01, 0.019, 0.011, 0.02, 0.201
8, "u32_popcnt_table_v1", 0.28, 0.161, 0.691, 0.39, 0.41, 0.412, 0.121, 0.188, 0.168, 0.179, 0.407
9, "u32_popcnt_table_v2", 0.146, 0.09, 0.349, 0.165, 0.22, 0.222, 0.08, 0.078, 0.07, 0.08, 0.308
10, "u8_asm_popcnt", 0.299, 0.121, 0.57,"N/A","N/A", 0.358, 0.121, 0.11, 0.1, 0.106,"N/A"
11, "u32_asm_popcnt", 0.06, 0.026, 0.1,"N/A","N/A", 0.091, 0.02, 0.023, 0.02, 0.023,"N/A"
12, "u32_asm_popcnt_ur2", 0.043, 0.021, 0.08,"N/A","N/A", 0.074, 0.02, 0.018, 0.02, 0.019,"N/A"
13, "u32_asm_popcnt_ur4", 0.033, 0.02, 0.072,"N/A","N/A", 0.07, 0.02, 0.02, 0.015, 0.018,"N/A"
14, "u64_asm_popcnt", 0.031, 0.02, 0.056,"N/A","N/A", 0.05, 0.01, 0.01, 0.01, 0.01,"N/A"
15, "u64_asm_popcnt_ur2", 0.023, 0.01, 0.047,"N/A","N/A", 0.04, 0.01, 0.01, 0.01, 0.01,"N/A"
16, "u64_asm_popcnt_ur4", 0.02, 0.01, 0.044,"N/A","N/A", 0.037, 0.01, 0.01, 0.01, 0.01,"N/A"
17, "u32_sse_popcnt", 0.039, 0.02, 0.073,"N/A","N/A", 0.069, 0.02, 0.028, 0.021, 0.026,"N/A"
18, "u32_avx2_popcnt","N/A", 0.02,"N/A","N/A","N/A","N/A", 0.02, 0.028, 0.627, 0.672,"N/A"
19, "u8_popcnt_intrinsics", 0.038, 0.019, 0.08, 0.059, 0.074, 0.054, 0.02, 0.018, 0.018, 0.017, 0.154
