"number", "method" , AMD , AMD , Intel , Intel , Intel , Intel , Intel , Intel , Intel , Intel , Intel
,  , X6 , Ryzen , Celeron , Core2-Duo , Core2 , i3 , i3 , i5 , i7 , i7 , Pentium-D
"number", "method" , 1090T , 1700X , N3050 , P9500 , Q9300 , 2375M , 6100 , 7400 , 4790 , 4900MQ , 925
1, "u8_popcnt_reference", 0.309, 0.28, 0.69, 0.617, 0.813, 0.858, 0.241, 0.256, 0.258, 0.241, 0.678
2, "u8_popcnt_wegner", 0.242, 0.241, 0.447, 0.426, 0.566, 0.551, 0.26, 0.26, 0.229, 0.228, 0.527
3, "u32_popcnt_wegner", 0.141, 0.133, 0.201, 0.178, 0.237, 0.327, 0.091, 0.1, 0.086, 0.091, 0.21
4, "u8_popcnt_shift_v1", 0.018, 0.012, 0.066, 0.02, 0.031, 0.029, 0, 0.008, 0.006, 0.008, 0.065
5, "u32_popcnt_shift_v1", 0.011, 0.003, 0.015, 0.007, 0.01, 0.012, 0, 0, 0, 0, 0.026
6, "u8_popcnt_shift_v2", 0.02, 0.014, 0.068, 0.02, 0.026, 0.029, 0, 0.008, 0.003, 0.009, 0.066
7, "u32_popcnt_shift_v2", 0.008, 0, 0.013, 0.007, 0.01, 0.012, 0, 0, 0, 0, 0.02
8, "u32_popcnt_table_v1", 0.039, 0.019, 0.086, 0.048, 0.054, 0.05, 0.01, 0.02, 0.019, 0.02, 0.043
9, "u32_popcnt_table_v2", 0.018, 0.01, 0.042, 0.015, 0.023, 0.029, 0.002, 0.01, 0.01, 0.008, 0.032
10, "u8_asm_popcnt", 0.041, 0.015, 0.074,"N/A","N/A", 0.045, 0.01, 0.01, 0.01, 0.01,"N/A"
11, "u32_asm_popcnt", 0.008, 0, 0.007,"N/A","N/A", 0.011, 0, 0, 0, 0,"N/A"
12, "u32_asm_popcnt_ur2", 0.004, 0, 0.009,"N/A","N/A", 0.01, 0, 0, 0, 0,"N/A"
13, "u32_asm_popcnt_ur4", 0.005, 0, 0.006,"N/A","N/A", 0.01, 0, 0, 0, 0,"N/A"
14, "u64_asm_popcnt", 0.004, 0, 0.004,"N/A","N/A", 0.009, 0, 0, 0, 0,"N/A"
15, "u64_asm_popcnt_ur2", 0, 0, 0,"N/A","N/A", 0.007, 0, 0, 0, 0,"N/A"
16, "u64_asm_popcnt_ur4", 0.001, 0, 0.001,"N/A","N/A", 0.004, 0, 0, 0, 0,"N/A"
17, "u32_sse_popcnt", 0.003, 0, 0.008,"N/A","N/A", 0.01, 0, 0, 0, 0,"N/A"
18, "u32_avx2_popcnt","N/A", 0,"N/A","N/A","N/A","N/A", 0, 0, 0.08, 0.08,"N/A"
19, "u8_popcnt_intrinsics", 0.009, 0, 0.008, 0, 0.001, 0.009, 0, 0, 0, 0, 0.014
